Search Term,Total Unique Searches,% Search Exits,Avg. Search Depth
french,18261,54.41%,1.66
tamil,12357,50.85%,2.4
urdu,2979,72.07%,1.5
italiano,2658,75.81%,1.6
Hindi,2605,20.04%,3.94
English,2327,34.51%,2.61
hindi,2285,26.78%,2.88
Tamil,1927,26.47%,3.23
multi-media,1827,75.64%,1.32
konkani,1756,69.99%,2.19
Kindergarten,1729,78.43%,0.93
Level 1,1619,16.92%,3.9
French,1240,36.85%,3.12
marathi,1223,59.85%,1.84
Marathi,1173,26.68%,4.01
ammachi,1054,11.39%,3.28
Ammachi,992,12.80%,3.36
angry akku,918,20.15%,2.46
Kannada,839,32.54%,3.02
level 1,770,14.03%,3.95
english,741,15.92%,2.87
Hindi stories,725,23.59%,3.13
health is wealth,723,83.96%,0.88
Sanskrit,719,33.38%,2.97
sringeri srinivas,713,18.37%,3.23
kannada,676,18.34%,3.25
hindi stories,669,22.57%,3.27
Level 2,629,16.69%,3.93
Level 3,620,15.16%,4.42
animals,574,13.94%,3.2
Telugu,573,30.02%,2.83
Mouse in the house,571,23.29%,2.91
family,558,21.15%,3.2
Level 4,555,18.74%,4.31
food,543,13.81%,3.26
My body,541,34.38%,3.89
Red raincoat,534,17.79%,3.08
Anand,524,14.12%,3.01
Hindi story,521,17.85%,4.17
sanskrit,510,22.75%,2.82
diwali,509,16.31%,3.85
too big too small,509,16.11%,2.31
Tamil stories,507,22.88%,4.79
the red raincoat,497,22.13%,2.7
The red raincoat,490,18.78%,2.91
shapes,477,18.87%,3.03
level 4,468,12.39%,3.16
Angry akku,467,12.63%,2.52
puchku,462,13.20%,2.75
Smile please,456,16.67%,2.91
level 2,446,11.21%,3.24
red raincoat,442,11.76%,2.56
spanish,432,31.02%,2.84
emotions,429,19.11%,2.71
Story,427,20.37%,3.99
annual haircut day,424,13.92%,2.08
Spanish,415,26.99%,2.38
level 3,403,12.16%,3.27
water,399,23.56%,2.71
rain,398,12.81%,3.58
sringeri,395,19.75%,2.85
smile please,389,19.02%,3.07
colours,386,15.54%,2.77
bunty and bubbly,382,35.08%,1.63
christmas,375,21.87%,3.71
Puchku,375,17.07%,2.83
Hindi level 1,369,18.16%,3.2
Animals,368,17.93%,3.25
lost and found,363,12.12%,2.12
Too big too small,363,11.29%,3.23
Malayalam,362,23.48%,3.62
a little like you,360,70.28%,1.44
mouse in the house,360,12.78%,2.3
I want that one,359,13.37%,3.18
too many bananas,359,11.98%,2.54
Tamil story,356,12.64%,6.85
body parts,353,32.01%,2.06
